Item code,Description,Price
CNWA0034,Pressboard Polyester Sheet with Thickness 0.35 mm x 20 mm for Core Corners
SPTL0024,Deep Box Socket 23mm
TMAS0679,Timber Packet for 1600/11/400 Assembly Ynd11 I/D CT2099
CNTL0041,Cutting Wheel 100x3x16mm
TMBC0694,Timber Packet for 10/33/64 Special Built Core
MCSF0063,Safety Overalls Dark Blue (XL)
INDL0008,DDP Double Layer 0.15x615mm
ACOT0188,Breather Extension Pipe 1 for 5000kVA/33kV/11kV CT1911
SPHW0032,Illuminated Selector Switch - M22-WLK3-W
ACRP0101,Phase Marking Plate for CT1949
AABC0464,Assembly Packet for 1750/33/400 Built Core
FTSS0013,SS Bolt M12 x 35 (Grade 304 A2-80)
CNMN0011,"PVC Joint Socket 3/4"""
TMCM0036,Timber Pallet 100 x 100 x 1725mm CT1701
AALG0027,Lug Bi Metallic 12mm x 95mm2
TMAS1062,Timber Packet Assembly for 400/33/400 EU Loss Design
INPB0011,Press Board E-Block for 630/33
SGOT0012,Connector Bar 4mm
SPGN0015,Plastic Cable Junction Box with Terminals (130W x 130H x 77D)
STFT0001,Steel Foot for 5/33
PT0002,18W Panel Light - Warm White
SPVC0042,Cable Tie with Marker
WTHO0443,HV Windings (Old M/C) 200/33/400 AT
WTHC0610,HV Winding CNC Multi Step 2500/33/690 O/D STD EU
TKFT0816,Powder Painted Tank & Cover 2000/11/415 EU
MCSF0064,Safety Overalls  (Powder Kits)
AATK0720,Assembly Packet for Multi Step Oval 2000/33/400 O/D Tanking EU AL
TLMN0011,Ratchet Wrench 16mm
INLV0620,Insulation Packet for 75/33/400 LV for CT2020
MCST0071,Pen Red
STCH0531,Steel Channels for 100/33/415 New Design Ph2
CNFB0026,Ferrule RF10 for Full Base M10 Studs
TMST0159,Timber Support 20x40x1440mm 1000/33/400 for CT1923 & CT1926
PL0016,Cable 4 Core 32/0.20 1mm2
WTTK0074,Tanking Standard 2000/33/415
AASS0006,Assembly Packet for Busbar Chamber 1000A-1250A
SPHW0162,Holder for cylinder sensor 20mm -BEF-KHZ-RT-20
PB0007,Crow Bar - 6 Feet
WTLF0365,LV Winding 2000/33/400
TMST0005,Timber Stick 35x30x500mm for 630/33 Standard Production
FTPL0019,Plated Flat Washer M10 (10.5x22x2mm)
TLMN0091,Ratchet Wrench 17mm
ACBU0023,HV Bushing Outdoor 12kV 250A CD=372mm BIL=95kV
FTGL0006,GI Bolt M16x40
ASST0013,"HV Winding Adjustable Former for 1000/33, 800/33 & 630/33"
ACOT0274,Enclosed Cable Trunking 75x25x1.5mm Cable Tray Length 500mm
TLMN0012,"Combined Spanner 17"""
WTLF0603,LV Winding Foil Multi Step 2000/33/415 O/D STD EU
AABC0572,Assembly Packet for 2000/33/400 Built Core
WTAS0330,Assembly Standard 350/3.3/415
WTHC0457,HV CNC Windings 1000kVA 11kV 415V  3� Transformer with On Load Tap Changer and LV Box
ACGK0597-D,Cork Gasket Cut to Size  8mm for 2000/33/400 415 & 800  EU
EIAC0006,Cable Gland BW 4C-50mm2
WTTK0720,Tanking Multi Step 2000/33/400 O/D STD EU AL
AAAS0012,Assembly Packet for 400kVA Assembly Ph2
MCST0064,Pen Blue Gel
CUAS0001,Copper Lead Set for 100/33/415 Assembly
PZ0007,"Fitting Panel of Wood applied with HPL 577, 719 x 719mm"
SPVC0001,Motor Cuppling (Rubber) A21071030
CUFX0007,Flexible Braided Connector for 250A (50mm2) 30x4.5x180mm
INSI0007,Strip Insulation 0.075X33mm
MCOT0119,Flap Battery CR20332
STPV0251,1500kVA 33kV 415V Outdoor Transformer with ISD Unit
AATK0013,Assembly Packet for 800/11/415 Standard O/D Tanking
WTTS0548,Testing of  O/D 630/33/400
STFT0584,Steel Foot  for 630/11/415 New Design Ph2
WTHN0004,HV new Windings Standard O/D 400/33/415
TKFT0062,"Powder Painted Tank & Cover after Fabricating, Tank Welding & Shot Blasting for 1750/33/400 CT1927"
TLMN0136,Torque Wrench with Reversibe Ratchet
STTR0537,Steel Tie Rod for 1000/33/415 New Design Ph2
SPHW0181,Potentiometer - Layer Insulation Winding Machine
SPHW0050,Time Relay - 80.41 0.240.0000 24-240 V DC/AC
CUFX0006,Flexible V Form Connector for 320A ARCU 100x10x78mm
WTBC0685,Built Core 2000/3.3/440 SCity
WTTK0736,Tanking Multi Step 1250/33/690 O/D STD EU AL
MCST0126,Leave Application Book
STPK0694,"Steel Channels, Traverse, Frame Foot Set for 10/33/110 Special"
FTPL0051,Plated Flat Washer M10 (10.5x25x1.8mm)
