Checkbox,Icon,Selected,Item code,Tag,Description,Quantity kg/l/nos,Ex. Works Price,CIF,Duty Free,Duty Paid,Export
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),4000/33/800 EU,1,,,,,
,,no,,991 - Assembly Packets (Core+Tanking+Dispatch),5000/33/800 EU,1,,,,,
,,no,,992 - Copper Assembly,,1,,,,,
,,no,CRGO,993 - 23ZDKH 75,,1,,,,,
,,no,CRGO,993 - 23ZDKH 85,,1,,,,,
,,no,CRGO,993 - 27ZH100,,1,,,,,
,,no,,"994 - Tank Steel, Trava, Foot & Clamps",,1,,,,,
,,no,,995 - Radiators,1000/33/415 EU Tank,1,,,,,
,,no,,995 - Radiators,1250/33/415 EU Tank,1,,,,,
,,no,,995 - Radiators,1250/33/415 EU Tank,1,,,,,
,,no,,995 - Radiators,1250/33/415 EU Tank,1,,,,,
,,no,,995 - Radiators,1250/33/415 EU Tank,1,,,,,
,,no,,995 - Radiators,1250/33/415 EU Tank,1,,,,,
,,no,,995 - Radiators,1250/33/400 EU Tank,1,,,,,
,,no,,995 - Radiators,1250/33/400 EU Tank,1,,,,,
,,no,,995 - Radiators,1250/33/400 EU Tank,1,,,,,
,,no,,995 - Radiators,1250/33/400 EU Tank,1,,,,,
,,no,,995 - Radiators,1600/33/400 EU Tank,1,,,,,
,,no,,995 - Radiators,1600/33/400 EU Tank,1,,,,,
,,no,,995 - Radiators,1600/33/400 EU Tank,1,,,,,
,,no,,995 - Radiators,1600/33/400 EU Tank,1,,,,,
,,no,,995 - Radiators,1600/33/400 EU Tank,1,,,,,
,,no,,995 - Radiators,2000/33/400 EU Tank,1,,,,,
,,no,,995 - Radiators,2000/33/400 EU Tank,1,,,,,
,,no,,995 - Radiators,2000/33/400 EU Tank,1,,,,,
,,no,,995 - Radiators,2000/33/400 EU Tank,1,,,,,
,,no,,995 - Radiators,2000/33/400 EU Tank,1,,,,,
,,no,,995 - Radiators,2500/33/400 EU Tank,1,,,,,
,,no,,995 - Radiators,2500/33/400 EU Tank,1,,,,,
,,no,,995 - Radiators,2500/33/400 EU Tank,1,,,,,
,,no,,995 - Radiators,3150/33/415 EU Tank,1,,,,,
,,no,,995 - Radiators,2500/33/400 EU Tank,1,,,,,
,,no,,995 - Radiators,3150/33/415 EU Tank,1,,,,,
,,no,,995 - Radiators,3150/33/415 EU Tank,1,,,,,
,,no,,995 - Radiators,3150/33/415 EU Tank,1,,,,,
,,no,,995 - Radiators,3150/33/415 EU Tank,1,,,,,
,,no,,995 - Radiators,3150/33/415 EU Tank,1,,,,,
,,no,,995 - Radiators,1250/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,1250/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,1250/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,1250/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,1250/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,1250/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,1250/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,1250/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,1250/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,1250/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,2000/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,2000/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,2000/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,2000/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,2000/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,2000/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,2000/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,2000/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,2000/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,2000/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,2500/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,2500/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,2500/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,3150/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,2500/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,3150/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,3150/33/400 EU AL Tank,1,,,,,
,,no,,995 - Radiators,3150/33/400 EU AL Tank,1,,,,,
